date,meter_reading
01.01.2022;46286.0
01.01.2023;82596.0
31.12.2023;117908.0
30.03.2024;131727.0
04.04.2024;131776.0
01.05.2024;131776.0
01.06.2024;131776.0
01.07.2024;131776.0
01.08.2024;131776.0
01.09.2024;131776.0
15.09.2024;131776.0
18.09.2024;131819.0
27.09.2024;131829.0
02.10.2024;132172.0
06.10.2024;132471.0
09.10.2024;132605.0
12.10.2024;132720.0
16.10.2024;133012.0
17.10.2024;133119.0
21.10.2024;133468.0
25.10.2024;133775.0
01.11.2024;134194.0
09.11.2024;135060.0
12.11.2024;135523.0
15.11.2024;136257.0
26.11.2024;137576.0
29.11.2024;137844.0
30.11.2024;138042.0
01.12.2024;138222.0
02.12.2024;138317.0
03.12.2024;138442.0
05.12.2024;138803.0
08.12.2024;139305.0
11.12.2024;139654.0
13.12.2024;140071.0
14.12.2024;140241.0
15.12.2024;140473.0
20.12.2024;141256.0
21.12.2024;141429.0
22.12.2024;141620.0
24.12.2024;141974.0
27.12.2024;142560.0
31.12.2024;143309.0
01.01.2025;143408.0
06.01.2025;144292.0
07.01.2025;144444.0
08.01.2025;144551.0
12.01.2025;145108.0
20.01.2025;146685.0
25.01.2025;147672.0
30.01.2025;148282.0
06.02.2025;149380.0
15.02.2025;150885.0
19.02.2025;151723.0
20.02.2025;151876.0
21.02.2025;152101.0
22.02.2025;152230.0
25.02.2025;152725.0
01.03.2025;153284.0
02.03.2025;153412.0
06.03.2025;153751.0
10.03.2025;154214.0
11.03.2025;154302.0
17.03.2025;154866.0
19.03.2025;155133.0
21.03.2025;155361.0
30.03.2025;156004.0
03.04.2025;156379.0
08.04.2025;156796.0
21.04.2025;157539.0
25.04.2025;157670.0
30.04.2025;278.0
11.05.2025;679.0
16.05.2025;755.0
18.05.2025;826.0
22.05.2025;893.0
25.05.2025;996.0
28.05.2025;1075.0
31.05.2025;1124.0
01.06.2025;1215.0
04.06.2025;1215.0
01.07.2025;1215.0
01.08.2025;1215.0
01.09.2025;1215.0
10.09.2025;1215.0
11.09.2025;1262.0
15.09.2025;1294.0
17.09.2025;1363.0
18.09.2025;1368.0
22.09.2025;1368.0
23.09.2025;1387.0
25.09.2025;1410.0
27.09.2025;1517.0
28.09.2025;1550.0
30.09.2025;1615.0
06.10.2025;1917.0
09.10.2025;2170.0
13.10.2025;2342.0
17.10.2025;2511.0
20.10.2025;2672.0
26.10.2025;3009.0
31.10.2025;3287.0
03.11.2025;3372.0
04.11.2025;3418.0
05.11.2025;3475.0
06.11.2025;3546.0
07.11.2025;3620.0
08.11.2025;3720.0
09.11.2025;3806.0
10.11.2025;3887.0
11.11.2025;3977.0
12.11.2025;4058.0
13.11.2025;4145.0
14.11.2025;4224.0